Lot URL,Lot Number,Est. Retail Value,Year,Make,Model,Expected Sale Date,Engine Type,State of Ownership Doc Type,Ownership Doc Type,Odometer Description,Cylinders,VIN,Grid/Row,Odometer Reading,Damage Description,Current Bid,My Bid,Item Number,Location,Sale Status,Repair Estimate
https://www.copart.com/lotDetail/24657127,24657127,"$2,125",1986,MERCEDES-BENZ,300E,04/27/2017 12:00 PM CDT,3.0L  6,KS,CERT OF TITLE-SALVAGE,EXEMPT,6,WDBEA30D4GA129675,KK100,0.0,BURN,$0,$0,0,KS - KANSAS CITY,Pure Sale,"$4,039"
https://www.copart.com/lotDetail/38928126,38928126,"$3,046",1986,CHEVROLET,K10,04/14/2017 12:00 PM CDT,5.0L  8,MN,CERTIFICATE OF TITLE,EXEMPT,8,1GCEK14H4GF308320,C040,28510.0,FRONT END,$25,$0,0,WI - MILWAUKEE,Pure Sale,"$7,217"
https://www.copart.com/lotDetail/24181337,24181337,"$7,646",1986,CHEVROLET,CRUISER RV,04/25/2017 09:00 AM CDT,7.4L  8,MD,CERT OF SALVAGE > 75% DAMAGE,ACTUAL,8,1GBJP37W8G3320417,HVY30,50276.0,TOP/ROOF,$0,$0,0,DE - SEAFORD,Minimum Bid,"$7,646"
https://www.copart.com/lotDetail/24352837,24352837,"$7,683",1986,TOYOTA,MR2,04/28/2017 02:00 PM CDT,1.6L  4,CA,NON-REPAIRABLE VEHICLE CERT,ACTUAL,4,JT2AW15C8G0076354,H130,260000.0,BURN,$0,$0,0,CA - SAN DIEGO,Minimum Bid,"$3,021"
https://www.copart.com/lotDetail/39703556,39703556,"$2,832",1986,GMC,K1500,04/24/2017 01:00 PM CDT,5.0L  8,UT,SALVAGE CERTIFICATE,EXEMPT,8,1GTEK14H9GS509444,A090,28719.0,SIDE,$0,$0,0,UT - OGDEN,Pure Sale,"$3,535"
https://www.copart.com/lotDetail/40680066,40680066,$0,1986,GMC,SAFARI SL,04/28/2017 02:00 PM CDT,4.3L  6,WA,VEHICLE CERT OF OWNERSHIP-TITL,EXEMPT,6,1G5CM15Z3GB528197,SD001,30874.0,SIDE,$0,$0,0,WA - PASCO,On Approval,$0
https://www.copart.com/lotDetail/37802486,37802486,$0,1986,TOYOTA,CRESSIDA L,04/27/2017 12:00 PM CDT,2.8L  6,TX,STORAGE LIEN PAPERS,ACTUAL,6,JT2MX73E5G0065541,N200,205610.0,ALL OVER,$0,$0,0,TX - DALLAS,On Approval,$0
https://www.copart.com/lotDetail/24602637,24602637,$0,1986,EBBT,BOAT W/TRL,04/20/2017 12:00 PM CDT,,MN,DNR REGISTRATION,EXEMPT,,ETC70075F687,MC001,0.0,MINOR DENT/SCRATCHES,$0,$0,0,MN - MINNEAPOLIS,On Approval,$0
https://www.copart.com/lotDetail/18712747,18712747,"$5,028",1986,FORD,F250,04/19/2017 02:00 PM CDT,6.9L  8,OR,SALVAGE TITLE CERTIFICATE,EXCEEDS MECHANICAL LIMITS,8,1FTHF2610GPB85147,A030,57166.0,SIDE,$70,$0,0,OR - PORTLAND NORTH,Pure Sale,"$5,741"
https://www.copart.com/lotDetail/24259137,24259137,"$3,957",1986,PONTIAC,FIERO GT,04/28/2017 09:00 AM CDT,2.8L  6,SC,CERT OF TITLE-SALVAGE,EXEMPT,6,1G2PG9797GP257620,PP020,0.0,FRONT END,$0,$0,0,SC - COLUMBIA,Pure Sale,"$3,163"
